catchment;mod_type;rmse;nrmse;mae;nmae;nse;kge;mod_mean;measured_mean;mod_top1;measured_top1;mod_low5;measured_low5;cor
Thur_01;lstm;39.06;0.406;0.414;50.99;46.13;120.64;133.62;9.43;9.33;0.65
Emme;xgb;0.49;0.042;0.35;0.03;0.999;0.99;11.69;11.69;71.66;71.64;1.87;1.85;0.999
Emme;lgbm;0.37;0.031;0.27;0.023;0.999;0.993;11.69;11.69;71.66;71.64;1.89;1.85;1
Emme;mlp;4.9;0.419;2.66;0.227;0.879;0.887;12.16;11.69;72.66;71.64;2.56;1.85;0.938
Emme;lstm;10.7;0.915;5.68;0.486;0.421;0.537;12.93;11.69;58.31;71.64;2.11;1.85;0.674
Emme;gru;10.48;0.896;5.63;0.482;0.445;0.407;12.52;11.69;52.68;71.64;2.75;1.85;0.671
Emme;svr;5.59;0.478;2.75;0.235;0.842;0.698;11.4;11.69;61.47;71.64;2.33;1.85;0.921
Plessur;xgb;0.24;0.041;0.17;0.029;0.998;0.988;5.93;5.93;28.23;28.31;0.6;0.54;0.999
Plessur;lgbm;0.44;0.074;0.34;0.057;0.995;0.974;5.92;5.93;28.17;28.31;0.68;0.54;0.998
Plessur;lstm;2.97;0.501;1.87;0.315;0.777;0.836;6.14;5.93;25.45;28.31;0.9;0.54;0.884
Plessur;gru;3.13;0.528;2.05;0.346;0.753;0.693;6.21;5.93;23.68;28.31;1.68;0.54;0.869
Plessur;mlp;3.17;0.534;2.03;0.343;0.747;0.682;5.91;5.93;18.65;28.31;1.23;0.54;0.864
Plessur;svr;2.01;0.34;1.18;0.199;0.897;0.813;5.72;5.93;25.12;28.31;0.7;0.54;0.949
Rosegbach;xgb;0.18;0.059;0.11;0.038;0.998;0.991;3;3;14.47;14.42;0.11;0.07;0.999
Rosegbach;lgbm;0.1;0.033;0.07;0.023;0.999;0.996;3;3;14.43;14.42;0.09;0.07;1
Rosegbach;mlp;1.58;0.525;0.79;0.265;0.832;0.653;2.65;3;10.49;14.42;0.26;0.07;0.922
Rosegbach;lstm;1.75;0.582;0.86;0.287;0.794;0.64;2.75;3;11.43;14.42;0.16;0.07;0.897
Rosegbach;gru;1.78;0.593;0.92;0.305;0.786;0.633;2.79;3;10.82;14.42;0.32;0.07;0.892
Rosegbach;svr;1.04;0.347;0.56;0.186;0.927;0.886;2.96;3;13.31;14.42;0.14;0.07;0.963
Venoge;xgb;0.26;0.066;0.18;0.045;0.997;0.986;3.93;3.93;24.04;24;0.51;0.49;0.999
Venoge;lgbm;0.26;0.066;0.18;0.046;0.997;0.987;3.92;3.93;24;24;0.51;0.49;0.999
Venoge;mlp;1.31;0.333;0.81;0.206;0.929;0.882;3.61;3.93;23.15;24;0.45;0.49;0.966
Venoge;lstm;2.87;0.732;1.42;0.363;0.654;0.689;3.77;3.92;22.09;24;0.22;0.49;0.811
Venoge;gru;2.86;0.729;1.38;0.351;0.657;0.681;3.79;3.92;23.02;24;0.65;0.49;0.813
Venoge;svr;1.11;0.284;0.65;0.166;0.948;0.897;3.86;3.93;23.26;24;0.55;0.49;0.974
Kander;xgb;0.47;0.023;0.32;0.016;0.999;0.993;20.38;20.38;68.49;68.52;5.32;5.25;1
Kander;lgbm;1.03;0.051;0.79;0.039;0.995;0.979;20.37;20.38;68.18;68.52;5.37;5.25;0.998
Kander;mlp;5.4;0.265;3.4;0.167;0.875;0.881;19.41;20.38;73.83;68.52;5.49;5.25;0.938
Kander;lstm;7.91;0.388;4.57;0.224;0.732;0.825;19.67;20.38;63.27;68.52;4.95;5.26;0.861
Kander;gru;8.28;0.406;4.69;0.23;0.706;0.557;18.83;20.38;53.86;68.52;6.47;5.26;0.85
Kander;svr;4.04;0.198;2.7;0.133;0.93;0.881;20.18;20.38;63.77;68.52;5.46;5.25;0.965
Verzasca;xgb;0.63;0.059;0.41;0.038;0.999;0.994;10.76;10.76;102.03;102.14;1.42;1.33;0.999
Verzasca;lgbm;0.02;0.002;0.01;0.001;1;1;10.76;10.76;102.14;102.14;1.33;1.33;1
Verzasca;mlp;7.86;0.731;3.57;0.331;0.833;0.761;11.57;10.76;112.06;102.14;3.29;1.33;0.914
Verzasca;xgb;0.53;0.049;0.34;0.031;0.999;0.995;10.82;10.82;102.06;102.25;1.39;1.32;1
Verzasca;lgbm;1.6;0.148;1.05;0.097;0.993;0.986;10.83;10.82;101.58;102.25;1.34;1.32;0.997
Verzasca;mlp;5.88;0.543;3.8;0.352;0.907;0.764;13;10.82;91.07;102.25;3.63;1.32;0.959
Verzasca;lstm;13.94;1.288;5.64;0.521;0.48;0.484;11.64;10.82;80.27;102.26;1.92;1.32;0.697
Verzasca;gru;14.25;1.317;6.34;0.586;0.456;0.482;12.62;10.82;83.48;102.26;2.85;1.32;0.689
Verzasca;svr;3.74;0.346;2.56;0.236;0.963;0.911;11.18;10.82;95.78;102.25;1.38;1.32;0.982
Ticino;xgb;0.44;0.007;0.26;0.004;1;0.998;65.62;65.62;339.92;339.9;20.35;20.01;1
